"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|SE3","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","944","0","5840","1082","n/e","4","n/e","n/e","307"
"BZN|SE3","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","953","0","5884","1107","n/e","7","n/e","n/e","252"
"BZN|SE3","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","963","0","6062","1111","n/e","6","n/e","n/e","230"
"BZN|SE3","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","965","0","6208","1113","n/e","4","n/e","n/e","221"
"BZN|SE3","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","977","0","6275","1112","n/e","1","n/e","n/e","270"
"BZN|SE3","01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1103","0","6275","1113","n/e","0","n/e","n/e","373"
"BZN|SE3","01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1252","0","6329","1113","n/e","0","n/e","n/e","537"
"BZN|SE3","01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1262","0","6344","1125","n/e","0","n/e","n/e","739"
"BZN|SE3","01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1262","0","6344","1126","n/e","0","n/e","n/e","972"
"BZN|SE3","01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1252","0","6349","1125","n/e","0","n/e","n/e","1173"
"BZN|SE3","01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1227","0","6353","1123","n/e","0","n/e","n/e","1441"
"BZN|SE3","01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1073","0","6354","1124","n/e","0","n/e","n/e","1686"
"BZN|SE3","01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","925","0","6354","1115","n/e","0","n/e","n/e","1847"
"BZN|SE3","01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","861","0","6356","1036","n/e","0","n/e","n/e","1917"
"BZN|SE3","02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","801","0","6359","944","n/e","0","n/e","n/e","1955"
"BZN|SE3","02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","782","0","6357","878","n/e","0","n/e","n/e","1834"
"BZN|SE3","02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","774","0","6359","828","n/e","0","n/e","n/e","1724"
"BZN|SE3","02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","782","0","6357","829","n/e","0","n/e","n/e","1611"
"BZN|SE3","02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","781","0","6359","838","n/e","0","n/e","n/e","1471"
"BZN|SE3","02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","782","0","6360","850","n/e","0","n/e","n/e","1402"
"BZN|SE3","02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","819","0","6361","854","n/e","0","n/e","n/e","1318"
"BZN|SE3","02.01.2022 07:00 - 02.01.2022 08:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","860","0","6360","875","n/e","0","n/e","n/e","1268"
"BZN|SE3","02.01.2022 08:00 - 02.01.2022 09:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","889","0","6361","913","n/e","0","n/e","n/e","1277"
"BZN|SE3","02.01.2022 09:00 - 02.01.2022 10:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","920","0","6360","978","n/e","0","n/e","n/e","1282"
"BZN|SE3","02.01.2022 10:00 - 02.01.2022 11:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","963","0","6359","1029","n/e","1","n/e","n/e","1274"
"BZN|SE3","02.01.2022 11:00 - 02.01.2022 12:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","968","0","6359","1038","n/e","2","n/e","n/e","1239"
"BZN|SE3","02.01.2022 12:00 - 02.01.2022 13:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","968","0","6359","1040","n/e","2","n/e","n/e","1229"
"BZN|SE3","02.01.2022 13:00 - 02.01.2022 14:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","964","0","6360","1036","n/e","1","n/e","n/e","1204"
"BZN|SE3","02.01.2022 14:00 - 02.01.2022 15:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","974","0","6387","1042","n/e","0","n/e","n/e","1165"
"BZN|SE3","02.01.2022 15:00 - 02.01.2022 16:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1065","0","6412","999","n/e","0","n/e","n/e","1113"
"BZN|SE3","02.01.2022 16:00 - 02.01.2022 17:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1072","0","6414","1046","n/e","0","n/e","n/e","1002"
"BZN|SE3","02.01.2022 17:00 - 02.01.2022 18:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1108","0","6413","1063","n/e","0","n/e","n/e","916"
"BZN|SE3","02.01.2022 18:00 - 02.01.2022 19:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1092","0","6414","1047","n/e","0","n/e","n/e","878"
"BZN|SE3","02.01.2022 19:00 - 02.01.2022 20:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1021","0","6414","1055","n/e","0","n/e","n/e","839"
"BZN|SE3","02.01.2022 20:00 - 02.01.2022 21:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","881","0","6413","987","n/e","0","n/e","n/e","839"
"BZN|SE3","02.01.2022 21:00 - 02.01.2022 22:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","837","0","6414","955","n/e","0","n/e","n/e","887"
"BZN|SE3","02.01.2022 22:00 - 02.01.2022 23:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","810","0","6413","964","n/e","0","n/e","n/e","973"
"BZN|SE3","02.01.2022 23:00 - 03.01.2022 00:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","784","0","6413","936","n/e","0","n/e","n/e","1030"
"BZN|SE3","03.01.2022 00:00 - 03.01.2022 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","791","0","6411","918","n/e","0","n/e","n/e","1109"
"BZN|SE3","03.01.2022 01:00 - 03.01.2022 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","791","0","6411","919","n/e","0","n/e","n/e","1170"
"BZN|SE3","03.01.2022 02:00 - 03.01.2022 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","789","0","6411","936","n/e","0","n/e","n/e","1179"
"BZN|SE3","03.01.2022 03:00 - 03.01.2022 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","789","0","6412","937","n/e","0","n/e","n/e","1195"
"BZN|SE3","03.01.2022 04:00 - 03.01.2022 05:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","794","0","6412","960","n/e","0","n/e","n/e","1207"
"BZN|SE3","03.01.2022 05:00 - 03.01.2022 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","735","0","6411","972","n/e","0","n/e","n/e","1147"
"BZN|SE3","03.01.2022 06:00 - 03.01.2022 07:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","764","0","6412","1008","n/e","0","n/e","n/e","1136"
"BZN|SE3","03.01.2022 07:00 - 03.01.2022 08:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","905","0","6412","1086","n/e","0","n/e","n/e","1187"
"BZN|SE3","03.01.2022 08:00 - 03.01.2022 09:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1157","0","6411","1090","n/e","0","n/e","n/e","1169"
"BZN|SE3","03.01.2022 09:00 - 03.01.2022 10:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1168","0","6409","1080","n/e","0","n/e","n/e","1201"
"BZN|SE3","03.01.2022 10:00 - 03.01.2022 11:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1042","0","6410","1063","n/e","1","n/e","n/e","1231"
"BZN|SE3","03.01.2022 11:00 - 03.01.2022 12:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1083","0","6411","1075","n/e","3","n/e","n/e","1272"
"BZN|SE3","03.01.2022 12:00 - 03.01.2022 13:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1086","0","6411","1067","n/e","3","n/e","n/e","1293"
"BZN|SE3","03.01.2022 13:00 - 03.01.2022 14:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1091","0","6411","1059","n/e","2","n/e","n/e","1377"
"BZN|SE3","03.01.2022 14:00 - 03.01.2022 15:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1178","0","6412","1064","n/e","0","n/e","n/e","1473"
"BZN|SE3","03.01.2022 15:00 - 03.01.2022 16:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1206","0","6410","1081","n/e","0","n/e","n/e","1604"
"BZN|SE3","03.01.2022 16:00 - 03.01.2022 17:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1230","0","6409","1101","n/e","0","n/e","n/e","1727"
"BZN|SE3","03.01.2022 17:00 - 03.01.2022 18:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1241","0","6408","1109","n/e","0","n/e","n/e","1821"
"BZN|SE3","03.01.2022 18:00 - 03.01.2022 19:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1242","0","6410","1109","n/e","0","n/e","n/e","1934"
"BZN|SE3","03.01.2022 19:00 - 03.01.2022 20:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1281","0","6408","1113","n/e","0","n/e","n/e","2002"
"BZN|SE3","03.01.2022 20:00 - 03.01.2022 21:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1162","0","6410","1101","n/e","0","n/e","n/e","2059"
"BZN|SE3","03.01.2022 21:00 - 03.01.2022 22:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","921","0","6411","1074","n/e","0","n/e","n/e","2125"
"BZN|SE3","03.01.2022 22:00 - 03.01.2022 23:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","855","0","6411","1016","n/e","0","n/e","n/e","2157"
"BZN|SE3","03.01.2022 23:00 - 04.01.2022 00:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","834","0","6411","953","n/e","0","n/e","n/e","2180"
"BZN|SE3","04.01.2022 00:00 - 04.01.2022 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","832","0","6405","877","n/e","0","n/e","n/e","2149"
"BZN|SE3","04.01.2022 01:00 - 04.01.2022 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","834","0","6405","856","n/e","0","n/e","n/e","2112"
"BZN|SE3","04.01.2022 02:00 - 04.01.2022 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","842","0","6405","848","n/e","0","n/e","n/e","2074"
"BZN|SE3","04.01.2022 03:00 - 04.01.2022 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","860","0","6419","849","n/e","0","n/e","n/e","2090"
"BZN|SE3","04.01.2022 04:00 - 04.01.2022 05:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","878","0","6502","890","n/e","0","n/e","n/e","2113"
"BZN|SE3","04.01.2022 05:00 - 04.01.2022 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","906","0","6596","959","n/e","0","n/e","n/e","2080"
"BZN|SE3","04.01.2022 06:00 - 04.01.2022 07:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1079","0","6724","1039","n/e","0","n/e","n/e","1998"
"BZN|SE3","04.01.2022 07:00 - 04.01.2022 08:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1293","0","6809","1109","n/e","0","n/e","n/e","1960"
"BZN|SE3","04.01.2022 08:00 - 04.01.2022 09:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1415","0","6852","1137","n/e","0","n/e","n/e","1953"
"BZN|SE3","04.01.2022 09:00 - 04.01.2022 10:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1430","0","6923","1143","n/e","2","n/e","n/e","1894"
"BZN|SE3","04.01.2022 10:00 - 04.01.2022 11:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1355","0","6944","1160","n/e","7","n/e","n/e","1827"
"BZN|SE3","04.01.2022 11:00 - 04.01.2022 12:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1355","0","6949","1166","n/e","13","n/e","n/e","1813"
"BZN|SE3","04.01.2022 12:00 - 04.01.2022 13:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1347","0","6960","1165","n/e","12","n/e","n/e","1718"
"BZN|SE3","04.01.2022 13:00 - 04.01.2022 14:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1347","0","6970","1162","n/e","8","n/e","n/e","1653"
"BZN|SE3","04.01.2022 14:00 - 04.01.2022 15:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1421","0","6973","1178","n/e","2","n/e","n/e","1640"
"BZN|SE3","04.01.2022 15:00 - 04.01.2022 16:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1422","0","6974","1172","n/e","0","n/e","n/e","1582"
"BZN|SE3","04.01.2022 16:00 - 04.01.2022 17:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1422","0","6972","1186","n/e","0","n/e","n/e","1510"
"BZN|SE3","04.01.2022 17:00 - 04.01.2022 18:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1421","0","6972","1191","n/e","0","n/e","n/e","1434"
"BZN|SE3","04.01.2022 18:00 - 04.01.2022 19:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1414","0","6972","1187","n/e","0","n/e","n/e","1304"
"BZN|SE3","04.01.2022 19:00 - 04.01.2022 20:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1432","0","6971","1191","n/e","0","n/e","n/e","1182"
"BZN|SE3","04.01.2022 20:00 - 04.01.2022 21:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1353","0","6972","1185","n/e","0","n/e","n/e","1100"
"BZN|SE3","04.01.2022 21:00 - 04.01.2022 22:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1218","0","6974","1147","n/e","0","n/e","n/e","1037"
"BZN|SE3","04.01.2022 22:00 - 04.01.2022 23:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1114","0","6974","1146","n/e","0","n/e","n/e","975"
"BZN|SE3","04.01.2022 23:00 - 05.01.2022 00:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","903","0","6974","1140","n/e","0","n/e","n/e","930"
"BZN|SE3","05.01.2022 00:00 - 05.01.2022 01:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","862","0","6975","1056","n/e","0","n/e","n/e","865"
"BZN|SE3","05.01.2022 01:00 - 05.01.2022 02:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","808","0","6976","964","n/e","0","n/e","n/e","794"
"BZN|SE3","05.01.2022 02:00 - 05.01.2022 03:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","798","0","6973","899","n/e","0","n/e","n/e","733"
"BZN|SE3","05.01.2022 03:00 - 05.01.2022 04:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","787","0","6972","895","n/e","0","n/e","n/e","665"
"BZN|SE3","05.01.2022 04:00 - 05.01.2022 05:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","753","0","6974","950","n/e","0","n/e","n/e","617"
"BZN|SE3","05.01.2022 05:00 - 05.01.2022 06:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","798","0","6973","1030","n/e","0","n/e","n/e","594"
"BZN|SE3","05.01.2022 06:00 - 05.01.2022 07:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","831","0","6975","1084","n/e","0","n/e","n/e","574"
"BZN|SE3","05.01.2022 07:00 - 05.01.2022 08:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1041","0","6976","1131","n/e","0","n/e","n/e","564"
"BZN|SE3","05.01.2022 08:00 - 05.01.2022 09:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1213","0","6976","1153","n/e","0","n/e","n/e","579"
"BZN|SE3","05.01.2022 09:00 - 05.01.2022 10:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1251","0","6975","1151","n/e","1","n/e","n/e","615"
"BZN|SE3","05.01.2022 10:00 - 05.01.2022 11:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1284","0","6982","1155","n/e","2","n/e","n/e","655"
"BZN|SE3","05.01.2022 11:00 - 05.01.2022 12:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1296","0","6977","1163","n/e","5","n/e","n/e","718"
"BZN|SE3","05.01.2022 12:00 - 05.01.2022 13:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1358","0","6977","1149","n/e","5","n/e","n/e","811"
"BZN|SE3","05.01.2022 13:00 - 05.01.2022 14:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1359","0","6977","1147","n/e","3","n/e","n/e","949"
"BZN|SE3","05.01.2022 14:00 - 05.01.2022 15:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1354","0","6977","1154","n/e","1","n/e","n/e","1063"
"BZN|SE3","05.01.2022 15:00 - 05.01.2022 16:00 (CET/CEST)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1342","0","6976","1103","n/e","0","n/e","n/e","1248"
